Date,Generated,Exported,Imported,Peak Power,Peak Time,Conditions,Temperature
2024-01-01,41.229,4.052,41.229,8.369,2:00PM,Partly Cloudy,9 to 15
2024-01-02,65.538,6.441,65.538,8.326,2:30PM,Fine,13 to 28
2024-01-03,25.965,2.552,25.965,4.952,2:50PM,Mostly Cloudy,14 to 23
2024-01-04,47.636,4.682,47.636,8.824,1:20PM,Partly Cloudy,15 to 25
2024-01-05,57.3,5.631,57.3,7.673,2:30PM,Fine,15 to 28
2024-01-06,27.176,2.671,27.176,8.437,3:40PM,Mostly Cloudy,17 to 24
2024-01-07,37.513,3.687,37.513,9.638,5:30PM,Mostly Cloudy,18 to 22
2024-01-08,44.344,4.358,44.344,10.004,3:20PM,Partly Cloudy,11 to 18
2024-01-09,69.596,6.84,69.596,8.476,3:00PM,Fine,11 to 23
2024-01-10,68.875,6.769,68.875,8.426,3:00PM,Fine,13 to 24
2024-01-11,66.357,6.522,66.357,7.917,3:00PM,Fine,10 to 26
2024-01-12,66.736,6.559,66.736,8.2,2:50PM,Fine,15 to 31
2024-01-13,48.801,4.796,48.801,8.002,4:10PM,Partly Cloudy,16 to 25
2024-01-14,68.986,6.78,68.986,9.506,2:20PM,Fine,9 to 22
2024-01-15,57.484,5.65,57.484,7.856,3:00PM,Fine,11 to 28
2024-01-16,58.875,5.786,58.875,8.116,2:30PM,Fine,18 to 29
2024-01-17,67.572,6.641,67.572,9.695,1:20PM,Fine,9 to 18
2024-01-18,70.426,6.921,70.426,8.714,4:00PM,Fine,8 to 19
2024-01-19,65.004,6.389,65.004,8.634,3:00PM,Fine,7 to 24
2024-01-20,67.439,6.628,67.439,8.421,3:10PM,Fine,17 to 29
2024-01-21,68.16,6.699,68.16,8.168,3:20PM,Fine,10 to 21
2024-01-22,65.043,6.392,65.043,7.992,3:20PM,Fine,8 to 24
2024-01-23,62.678,6.16,62.678,7.81,3:40PM,Fine,17 to 34
2024-01-24,39.89,3.92,39.89,8.923,2:20PM,Mostly Cloudy,16 to 25
2024-01-25,10.855,1.067,10.855,3.388,12:20PM,Cloudy,15 to 21
2024-01-26,51.941,5.105,51.941,10.016,2:20PM,Fine,10 to 18
2024-01-27,67.205,6.605,67.205,9.167,4:00PM,Fine,8 to 18
2024-01-28,65.194,6.407,65.194,8.16,2:30PM,Fine,10 to 24
2024-01-29,63.962,6.286,63.962,9.638,1:00PM,Fine,18 to 26
2024-01-30,66.56,6.542,66.56,8.167,2:00PM,Fine,12 to 23
2024-01-31,65.059,6.394,65.059,8.12,3:20PM,Fine,9 to 20
2024-02-01,64.507,6.34,64.507,8.038,4:00PM,Fine,10 to 24
2024-02-02,62.816,6.174,62.816,7.717,3:10PM,Fine,11 to 23
2024-02-03,62.77,6.169,62.77,7.913,3:40PM,Fine,12 to 28
2024-02-04,57.491,5.65,57.491,7.949,3:10PM,Fine,20 to 33
2024-02-05,50.028,4.917,50.028,9.89,2:10PM,Partly Cloudy,11 to 18
2024-02-06,64.209,6.31,64.209,8.414,1:40PM,Fine,8 to 19
2024-02-07,62.86,6.178,62.86,7.923,3:00PM,Fine,10 to 20
2024-02-08,62.838,6.176,62.838,8.199,3:00PM,Fine,9 to 24
2024-02-09,62.294,6.122,62.294,7.872,3:30PM,Fine,9 to 22
2024-02-10,60.049,5.902,60.049,7.915,3:10PM,Fine,9 to 24
2024-02-11,51.171,5.029,51.171,8.913,3:00PM,Fine,15 to 32
2024-02-12,57.965,5.697,57.965,7.55,3:10PM,Fine,21 to 28
2024-02-13,55.202,5.425,55.202,8.823,5:40PM,Fine,22 to 26
2024-02-14,60.682,5.964,60.682,7.935,3:00PM,Fine,8 to 18
2024-02-15,61.426,6.037,61.426,8.157,3:40PM,Fine,9 to 23
2024-02-16,59.964,5.893,59.964,7.99,3:10PM,Fine,6 to 26
2024-02-17,52.429,5.153,52.429,8.738,3:20PM,Fine,14 to 30
2024-02-18,58.06,5.706,58.06,7.681,3:10PM,Fine,15 to 30
2024-02-19,53.972,5.304,53.972,8.143,3:40PM,Fine,13 to 30
2024-02-20,31.772,3.123,31.772,8.151,2:40PM,Mostly Cloudy,17 to 28
2024-02-21,54.737,5.38,54.737,7.421,2:50PM,Fine,21 to 32
2024-02-22,55.065,5.412,55.065,8.802,3:10PM,Fine,21 to 29
2024-02-23,30.609,3.008,30.609,5.518,3:50PM,Mostly Cloudy,10 to 15
2024-02-24,57.956,5.696,57.956,7.711,3:50PM,Fine,8 to 23
2024-02-25,52.107,5.121,52.107,7.548,2:40PM,Fine,13 to 26
2024-02-26,30.719,3.019,30.719,5.083,12:30PM,Mostly Cloudy,12 to 22
2024-02-27,51.488,5.06,51.488,7.003,2:20PM,Fine,13 to 31
2024-02-28,54.373,5.344,54.373,7.6,3:40PM,Fine,18 to 29
2024-02-29,43.476,4.273,43.476,7.944,3:30PM,Partly Cloudy,13 to 24
2024-03-01,46.959,4.615,46.959,7.916,3:50PM,Partly Cloudy,14 to 26
2024-03-02,48.951,4.811,48.951,8.755,3:50PM,Partly Cloudy,11 to 23
2024-03-03,54.988,5.404,54.988,7.415,3:20PM,Fine,9 to 20
2024-03-04,45.997,4.521,45.997,8.001,4:20PM,Partly Cloudy,7 to 25
2024-03-05,46.301,4.55,46.301,7.092,2:50PM,Partly Cloudy,16 to 28
2024-03-06,48.049,4.722,48.049,6.87,2:30PM,Partly Cloudy,18 to 30
2024-03-07,45.317,4.454,45.317,7.058,2:10PM,Partly Cloudy,12 to 27
2024-03-08,48.405,4.757,48.405,6.806,3:20PM,Partly Cloudy,16 to 32
2024-03-09,34.105,3.352,34.105,7.57,3:30PM,Mostly Cloudy,21 to 34
2024-03-10,47.511,4.669,47.511,6.859,3:00PM,Partly Cloudy,23 to 33
2024-03-11,46.044,4.525,46.044,6.827,1:10PM,Partly Cloudy,25 to 34
2024-03-12,37.798,3.715,37.798,7.135,1:30PM,Mostly Cloudy,22 to 33
2024-03-13,25.677,2.524,25.677,4.343,3:10PM,Mostly Cloudy,17 to 28
2024-03-14,23.034,2.264,23.034,8.987,12:50PM,Cloudy,13 to 16
2024-03-15,38.104,3.745,38.104,8.311,2:10PM,Mostly Cloudy,9 to 24
2024-03-16,45.502,4.472,45.502,7.777,1:40PM,Mostly Cloudy,15 to 29
2024-03-17,42.482,4.175,42.482,7.354,3:50PM,Mostly Cloudy,15 to 28
2024-03-18,43.589,4.284,43.589,6.998,4:00PM,Partly Cloudy,17 to 26
2024-03-19,27.684,2.721,27.684,9.443,2:10PM,Partly Cloudy,12 to 18
2024-03-20,48.925,4.808,48.925,7.68,2:00PM,Partly Cloudy,7 to 16
2024-03-21,47.811,4.699,47.811,7.13,2:50PM,Partly Cloudy,7 to 18
2024-03-22,47.566,4.675,47.566,6.89,3:10PM,Partly Cloudy,8 to 19
2024-03-23,47.842,4.702,47.842,7.066,3:00PM,Partly Cloudy,7 to 17
2024-03-24,46.855,4.605,46.855,7.147,3:20PM,Partly Cloudy,7 to 20
2024-03-25,48.541,4.771,48.541,7.03,3:00PM,Partly Cloudy,7 to 19
2024-03-26,46.947,4.614,46.947,7.031,3:00PM,Partly Cloudy,8 to 17
2024-03-27,44.615,4.385,44.615,6.564,3:00PM,Partly Cloudy,10 to 20
2024-03-28,43.581,4.283,43.581,6.448,2:50PM,Partly Cloudy,9 to 21
2024-03-29,42.724,4.199,42.724,6.443,3:20PM,Partly Cloudy,17 to 26
2024-03-30,36.689,3.606,36.689,6.776,3:40PM,Partly Cloudy,17 to 29
2024-03-31,39.355,3.868,39.355,6.247,3:00PM,Mostly Cloudy,18 to 26
2024-04-01,20.014,1.967,20.014,8.752,1:30PM,Cloudy,13 to 17
2024-04-02,22.859,2.247,22.859,7.479,12:30PM,Cloudy,9 to 12
2024-04-03,34.301,3.371,34.301,8.814,3:00PM,Mostly Cloudy,9 to 15
2024-04-04,40.569,3.987,40.569,7.972,3:50PM,Mostly Cloudy,7 to 15
2024-04-05,42.11,4.139,42.11,6.443,3:10PM,Partly Cloudy,6 to 16
2024-04-06,39.044,3.837,39.044,6.489,3:30PM,Mostly Cloudy,8 to 20
2024-04-07,38.044,3.737,38.044,8.767,1:10PM,Mostly Cloudy,8 to 15
2024-04-08,22.126,2.172,22.126,8.551,1:00PM,Cloudy,8 to 14
2024-04-09,20.52,2.017,20.52,5.875,12:40PM,Cloudy,6 to 13
2024-04-10,29.462,2.896,29.462,7.762,1:50PM,Mostly Cloudy,6 to 15
2024-04-11,32.863,3.23,32.863,9.124,1:00PM,Mostly Cloudy,8 to 15
2024-04-12,39.912,3.923,39.912,7.004,11:50AM,Mostly Cloudy,7 to 15
2024-04-13,42.068,4.134,42.068,6.758,11:50AM,Partly Cloudy,6 to 16
2024-04-14,34.756,3.416,34.756,6.272,2:20PM,Mostly Cloudy,7 to 18
2024-04-15,37.018,3.638,37.018,6.038,1:50PM,Mostly Cloudy,7 to 19
2024-04-16,32.522,3.196,32.522,7.38,2:10PM,Mostly Cloudy,7 to 18
2024-04-17,26.23,2.578,26.23,6.507,1:40PM,Mostly Cloudy,7 to 14
2024-04-18,15.326,1.506,15.326,4.187,4:10PM,Cloudy,7 to 11
2024-04-19,30.605,3.008,30.605,7.783,12:40PM,Mostly Cloudy,7 to 13
2024-04-20,35.838,3.522,35.838,5.775,1:50PM,Mostly Cloudy,6 to 16
2024-04-21,36.046,3.543,36.046,5.941,1:50PM,Mostly Cloudy,5 to 18
2024-04-22,34.753,3.416,34.753,5.777,1:50PM,Mostly Cloudy,9 to 20
2024-04-23,18.988,1.866,18.988,5.109,2:00PM,Cloudy,15 to 19
2024-04-24,19.813,1.947,19.813,7.386,1:10PM,Cloudy,5 to 13
2024-04-25,20.096,1.975,20.096,7.763,12:50PM,Cloudy,6 to 14
2024-04-26,16.936,1.664,16.936,3.032,1:00PM,Cloudy,9 to 12
2024-04-27,21.746,2.137,21.746,6.689,1:10PM,Cloudy,5 to 14
2024-04-28,29.435,2.893,29.435,5.537,2:20PM,Mostly Cloudy,7 to 17
2024-04-29,19.458,1.912,19.458,5.145,3:50PM,Cloudy,11 to 13
2024-04-30,32.378,3.182,32.378,5.622,1:40PM,Mostly Cloudy,4 to 11
2024-05-01,30.906,3.037,30.906,5.939,11:20AM,Mostly Cloudy,4 to 13
2024-05-02,29.372,2.887,29.372,5.258,2:20PM,Mostly Cloudy,5 to 14
2024-05-03,24.288,2.387,24.288,5.832,1:00PM,Cloudy,6 to 17
2024-05-04,20.417,2.007,20.417,6.681,1:10PM,Cloudy,8 to 18
2024-05-05,28.922,2.842,28.922,5.065,1:40PM,Mostly Cloudy,7 to 18
2024-05-06,29.395,2.889,29.395,5.118,1:40PM,Mostly Cloudy,7 to 15
2024-05-07,28.383,2.789,28.383,4.998,2:00PM,Mostly Cloudy,8 to 16
2024-05-08,27.775,2.73,27.775,4.917,1:40PM,Mostly Cloudy,8 to 18
2024-05-09,27.076,2.661,27.076,5.307,1:50PM,Mostly Cloudy,8 to 18
2024-05-10,24.695,2.427,24.695,5.242,1:30PM,Cloudy,7 to 17
2024-05-11,23.652,2.325,23.652,5.669,1:00PM,Cloudy,8 to 16
2024-05-12,26.817,2.636,26.817,4.947,1:20PM,Mostly Cloudy,8 to 15
2024-05-13,27.446,2.697,27.446,4.923,2:30PM,Mostly Cloudy,8 to 16
2024-05-14,24.879,2.445,24.879,5.234,1:20PM,Cloudy,8 to 17
2024-05-15,20.537,2.018,20.537,4.756,1:50PM,Cloudy,10 to 19
