Date,Generated_kWh
1/1/2024,3101.007
1/2/2024,2095.928
1/3/2024,915.829
1/4/2024,3506.303
1/5/2024,2704.486
1/6/2024,1686.37
1/7/2024,627.391
1/8/2024,3690.112
1/9/2024,293.372
1/10/2024,2540.063
1/11/2024,4099.878
1/12/2024,4077.201
1/13/2024,3987.878
1/14/2024,4244.266
1/15/2024,2470.901
1/16/2024,4139.525
1/17/2024,997.012
1/18/2024,1947.969
1/19/2024,2999.767
1/20/2024,353.037
1/21/2024,3307.631
1/22/2024,4627.943
1/23/2024,4703.582
1/24/2024,4543.034
1/25/2024,2918.332
1/26/2024,4710.07
1/27/2024,3255.076
1/28/2024,4834.591
1/29/2024,3780.47
1/30/2024,4656.835
1/31/2024,4972.746
2/1/2024,4919.659
2/2/2024,3100.169
2/3/2024,4564.172
2/4/2024,3039.912
2/5/2024,3503.328
2/6/2024,4948.115
2/7/2024,3911.765
2/8/2024,3803.686
2/9/2024,4181.721
2/10/2024,2285.04
2/11/2024,841.753
2/12/2024,3649.709
2/13/2024,4506.218
2/14/2024,2824.008
2/15/2024,5184.388
2/16/2024,3702.918
2/17/2024,4589.521
2/18/2024,4289.965
2/19/2024,1971.522
2/20/2024,3046.54
2/21/2024,4661.495
2/22/2024,4526.902
2/23/2024,4120.703
2/24/2024,5056.857
2/25/2024,2007.657
2/26/2024,1642.765
2/27/2024,5204.439
2/28/2024,4526.111
2/29/2024,3157.015
3/1/2024,824.256
3/2/2024,244.0722
3/3/2024,4850.237
3/4/2024,3460.233
3/5/2024,1013.228
3/6/2024,5350.841
3/7/2024,1745.414
3/8/2024,5002.24
3/9/2024,831.026
3/10/2024,1874.399
3/11/2024,2570.617
3/12/2024,3853.361
3/13/2024,5827.129
3/14/2024,3950.444
3/15/2024,5116.751
3/16/2024,4645.636
3/17/2024,4401.295
3/18/2024,6049.421
3/19/2024,2738.428
3/20/2024,6316.721
3/21/2024,6468.508
3/22/2024,6015.043
3/23/2024,6393.931
3/24/2024,5798.029
3/25/2024,6373.476
3/26/2024,1820.294
3/27/2024,4335.973
3/28/2024,5167.038
3/29/2024,6388.071
3/30/2024,6351.965
3/31/2024,4858.592
4/1/2024,5654.714
4/2/2024,4626.919
4/3/2024,6419.013
