period_end,air_temp,albedo,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dhi,dni,ghi,gti,relative_humidity,wind_direction_10m,wind_speed_10m,zenith,period,AC_Power_kW,Energy_kWh,Daily_Energy_kWh
2024-12-01 00:00:00+00:00,11,0.13,-57,0,0,0,0,94.3,0,0,0,0,83.9,64,6.1,151,PT5M,0.0,0.0,202.50868634569875
2024-12-01 00:05:00+00:00,11,0.13,-58,0,0,0,0,93.6,0,0,0,0,84.0,64,6.1,150,PT5M,0.0,,
2024-12-01 00:10:00+00:00,11,0.13,-60,0,0,0,0,93.9,0,0,0,0,84.0,64,6.1,149,PT5M,0.0,,
2024-12-01 00:15:00+00:00,11,0.13,-62,0,0,0,0,94.6,0,0,0,0,84.0,63,6.1,148,PT5M,0.0,,
2024-12-01 00:20:00+00:00,11,0.13,-63,0,0,0,0,94.9,0,0,0,0,84.0,63,6.1,148,PT5M,0.0,,
2024-12-01 00:25:00+00:00,11,0.13,-65,0,0,0,0,95.4,0,0,0,0,84.0,63,6.0,147,PT5M,0.0,,
2024-12-01 00:30:00+00:00,11,0.13,-66,0,0,0,0,95.4,0,0,0,0,84.0,63,6.0,146,PT5M,0.0,,
2024-12-01 00:35:00+00:00,11,0.13,-67,0,0,0,0,95.1,0,0,0,0,84.0,63,6.0,145,PT5M,0.0,,
2024-12-01 00:40:00+00:00,11,0.13,-69,0,0,0,0,95.1,0,0,0,0,84.0,63,6.0,144,PT5M,0.0,,
2024-12-01 00:45:00+00:00,11,0.13,-70,0,0,0,0,95.1,0,0,0,0,83.9,62,6.0,143,PT5M,0.0,,
2024-12-01 00:50:00+00:00,11,0.13,-71,0,0,0,0,95.1,0,0,0,0,83.9,62,6.0,142,PT5M,0.0,,
2024-12-01 00:55:00+00:00,11,0.13,-72,0,0,0,0,95.4,0,0,0,0,83.9,62,5.9,142,PT5M,0.0,,
2024-12-01 01:00:00+00:00,11,0.13,-73,0,0,0,0,95.1,0,0,0,0,83.9,62,5.9,141,PT5M,0.0,0.0,
2024-12-01 01:05:00+00:00,11,0.13,-75,0,0,0,0,95.4,0,0,0,0,83.9,62,5.9,140,PT5M,0.0,,
2024-12-01 01:10:00+00:00,11,0.13,-76,0,0,0,0,95.4,0,0,0,0,83.9,62,5.9,139,PT5M,0.0,,
2024-12-01 01:15:00+00:00,11,0.13,-77,0,0,0,0,94.9,0,0,0,0,83.9,62,5.9,138,PT5M,0.0,,
2024-12-01 01:20:00+00:00,10,0.13,-78,0,0,0,0,95.1,0,0,0,0,83.9,62,5.8,137,PT5M,0.0,,
