period_end,air_temp,albedo,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dhi,dni,ghi,gti,relative_humidity,wind_speed_10m,zenith,period,AC_Power_kW,Energy_kWh,Daily_Energy_kWh
2024-12-01 00:00:00+00:00,16,0.15,-123,0,0,0,0,38.6,0,0,0,0,93.1,0.1,136,PT5M,0.0,0.0,21.44310225657289
2024-12-01 00:05:00+00:00,16,0.15,-123,0,0,0,0,38.6,0,0,0,0,93.2,0.2,135,PT5M,0.0,,
2024-12-01 00:10:00+00:00,16,0.15,-122,0,0,0,0,41.4,0,0,0,0,93.3,0.2,134,PT5M,0.0,,
2024-12-01 00:15:00+00:00,16,0.15,-121,0,0,0,0,53.1,0,0,0,0,93.4,0.3,133,PT5M,0.0,,
2024-12-01 00:20:00+00:00,16,0.15,-121,0,0,0,0,51.8,0,0,0,0,93.5,0.3,131,PT5M,0.0,,
2024-12-01 00:25:00+00:00,16,0.15,-120,0,0,0,0,54.3,0,0,0,0,93.6,0.4,130,PT5M,0.0,,
2024-12-01 00:30:00+00:00,16,0.15,-120,0,0,0,0,54.3,0,0,0,0,93.7,0.4,129,PT5M,0.0,,
2024-12-01 00:35:00+00:00,16,0.15,-119,0,0,0,0,54.3,0,0,0,0,93.8,0.5,128,PT5M,0.0,,
2024-12-01 00:40:00+00:00,16,0.15,-119,0,0,0,0,53.1,0,0,0,0,93.9,0.5,127,PT5M,0.0,,
2024-12-01 00:45:00+00:00,16,0.15,-118,0,0,0,0,53.1,0,0,0,0,94.0,0.6,126,PT5M,0.0,,
2024-12-01 00:50:00+00:00,16,0.15,-118,0,0,0,0,53.1,0,0,0,0,94.1,0.7,125,PT5M,0.0,,
2024-12-01 00:55:00+00:00,16,0.15,-117,0,0,0,0,49.3,0,0,0,0,94.2,0.7,124,PT5M,0.0,,
2024-12-01 01:00:00+00:00,16,0.15,-117,0,0,0,0,54.3,0,0,0,0,94.3,0.8,123,PT5M,0.0,0.0,
2024-12-01 01:05:00+00:00,16,0.15,-116,0,0,0,0,55.5,0,0,0,0,94.3,0.8,122,PT5M,0.0,,
2024-12-01 01:10:00+00:00,16,0.15,-116,0,0,0,0,56.7,0,0,0,0,94.2,0.8,120,PT5M,0.0,,
2024-12-01 01:15:00+00:00,16,0.15,-116,0,0,0,0,55.5,0,0,0,0,94.1,0.7,119,PT5M,0.0,,
2024-12-01 01:20:00+00:00,16,0.15,-115,0,0,0,0,54.3,0,0,0,0,94.0,0.7,118,PT5M,0.0,,
2024-12-01 01:25:00+00:00,16,0.15,-115,0,0,0,0,54.3,0,0,0,0,93.9,0.7,117,PT5M,0.0,,
2024-12-01 01:30:00+00:00,16,0.15,-115,0,0,0,0,54.3,0,0,0,0,93.8,0.7,116,PT5M,0.0,,
2024-12-01 01:35:00+00:00,16,0.15,-115,0,0,0,0,53.1,0,0,0,0,93.7,0.6,115,PT5M,0.0,,
2024-12-01 01:40:00+00:00,16,0.15,-114,0,0,0,0,53.1,0,0,0,0,93.6,0.6,114,PT5M,0.0,,
2024-12-01 01:45:00+00:00,16,0.15,-114,0,0,0,0,53.1,0,0,0,0,93.5,0.6,113,PT5M,0.0,,
2024-12-01 01:50:00+00:00,16,0.15,-114,0,0,0,0,53.1,0,0,0,0,93.4,0.6,111,PT5M,0.0,,
2024-12-01 01:55:00+00:00,16,0.15,-114,0,0,0,0,53.1,0,0,0,0,93.3,0.5,110,PT5M,0.0,,
2024-12-01 02:00:00+00:00,16,0.15,-113,0,0,0,0,53.1,0,0,0,0,93.2,0.5,109,PT5M,0.0,0.0,
2024-12-01 02:05:00+00:00,16,0.15,-113,0,0,0,0,53.1,0,0,0,0,93.3,0.5,108,PT5M,0.0,,
2024-12-01 02:10:00+00:00,16,0.15,-113,0,0,0,0,53.1,0,0,0,0,93.4,0.4,107,PT5M,0.0,,
2024-12-01 02:15:00+00:00,16,0.15,-113,0,0,0,0,50.6,0,0,0,0,93.6,0.4,106,PT5M,0.0,,
2024-12-01 02:20:00+00:00,16,0.15,-113,0,0,0,0,48.0,0,0,0,0,93.7,0.4,104,PT5M,0.0,,
2024-12-01 02:25:00+00:00,16,0.15,-113,0,0,0,0,46.7,0,0,0,0,93.9,0.3,103,PT5M,0.0,,
2024-12-01 02:30:00+00:00,16,0.15,-112,0,0,0,0,46.7,0,0,0,0,94.0,0.3,102,PT5M,0.0,,
2024-12-01 02:35:00+00:00,16,0.15,-112,0,0,0,0,45.4,0,0,0,0,94.2,0.2,101,PT5M,0.0,,
2024-12-01 02:40:00+00:00,16,0.15,-112,0,0,0,0,45.4,0,0,0,0,94.3,0.2,100,PT5M,0.0,,
2024-12-01 02:45:00+00:00,16,0.15,-112,0,0,0,0,44.1,0,0,0,0,94.5,0.2,99,PT5M,0.0,,
2024-12-01 02:50:00+00:00,16,0.15,-112,0,0,0,0,41.4,0,0,0,0,94.6,0.1,98,PT5M,0.0,,
2024-12-01 02:55:00+00:00,16,0.15,-112,0,0,0,0,37.2,0,0,0,0,94.8,0.1,96,PT5M,0.0,,
2024-12-01 03:00:00+00:00,16,0.15,-112,0,0,0,0,29.8,0,0,0,0,94.9,0.1,95,PT5M,0.0,0.09955379392056456,
2024-12-01 03:05:00+00:00,16,0.15,-112,0,0,0,0,31.3,0,0,0,0,95.0,0.1,94,PT5M,0.0,,
