period_end,air_temp,albedo,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dhi,dni,ghi,gti,relative_humidity,wind_direction_10m,wind_speed_10m,zenith,period,AC_Power_kW,Energy_kWh,Daily_Energy_kWh
2024-05-01 00:00:00+00:00,16,0.14,-27,0,0,0,0,22.2,0,0,0,0,72.3,57,0.7,120,PT5M,0.0,0.0,3969.696747464704
2024-05-01 00:05:00+00:00,16,0.14,-28,0,0,0,0,21.3,0,0,0,0,72.3,55,0.7,120,PT5M,0.0,,
2024-05-01 00:10:00+00:00,16,0.14,-30,0,0,0,0,23.2,0,0,0,0,72.4,52,0.7,119,PT5M,0.0,,
2024-05-01 00:15:00+00:00,16,0.14,-31,0,0,0,0,25.0,0,0,0,0,72.5,49,0.7,119,PT5M,0.0,,
2024-05-01 00:20:00+00:00,16,0.14,-32,0,0,0,0,23.2,0,0,0,0,72.6,47,0.7,118,PT5M,0.0,,
2024-05-01 00:25:00+00:00,16,0.14,-33,0,0,0,0,23.2,0,0,0,0,72.7,43,0.7,118,PT5M,0.0,,
2024-05-01 00:30:00+00:00,16,0.14,-35,0,0,0,0,24.1,0,0,0,0,72.8,40,0.6,117,PT5M,0.0,,
2024-05-01 00:35:00+00:00,16,0.14,-36,0,0,0,0,24.1,0,0,0,0,73.0,37,0.6,117,PT5M,0.0,,
2024-05-01 00:40:00+00:00,16,0.14,-37,0,0,0,0,25.0,0,0,0,0,73.1,34,0.6,116,PT5M,0.0,,
2024-05-01 00:45:00+00:00,16,0.14,-38,0,0,0,0,25.9,0,0,0,0,73.2,30,0.6,115,PT5M,0.0,,
2024-05-01 00:50:00+00:00,16,0.14,-39,0,0,0,0,24.1,0,0,0,0,73.3,27,0.6,115,PT5M,0.0,,
2024-05-01 00:55:00+00:00,16,0.14,-41,0,0,0,0,26.9,0,0,0,0,73.4,23,0.6,114,PT5M,0.0,,
2024-05-01 01:00:00+00:00,16,0.14,-42,0,0,0,0,28.7,0,0,0,0,73.5,20,0.6,114,PT5M,0.0,0.0,
2024-05-01 01:05:00+00:00,16,0.14,-43,0,0,0,0,29.6,0,0,0,0,73.7,19,0.6,113,PT5M,0.0,,
2024-05-01 01:10:00+00:00,16,0.14,-44,0,0,0,0,30.6,0,0,0,0,73.9,19,0.7,112,PT5M,0.0,,
2024-05-01 01:15:00+00:00,15,0.14,-45,0,0,0,0,30.6,0,0,0,0,74.1,19,0.7,112,PT5M,0.0,,
2024-05-01 01:20:00+00:00,15,0.14,-46,0,0,0,0,30.6,0,0,0,0,74.3,19,0.7,111,PT5M,0.0,,
2024-05-01 01:25:00+00:00,15,0.14,-47,0,0,0,0,30.6,0,0,0,0,74.5,19,0.7,110,PT5M,0.0,,
2024-05-01 01:30:00+00:00,15,0.14,-48,0,0,0,0,32.4,0,0,0,0,74.7,20,0.7,110,PT5M,0.0,,
2024-05-01 01:35:00+00:00,15,0.14,-49,0,0,0,0,30.6,0,0,0,0,74.9,20,0.8,109,PT5M,0.0,,
2024-05-01 01:40:00+00:00,15,0.14,-50,0,0,0,0,30.6,0,0,0,0,75.1,20,0.8,108,PT5M,0.0,,
2024-05-01 01:45:00+00:00,15,0.14,-51,0,0,0,0,30.6,0,0,0,0,75.3,20,0.8,107,PT5M,0.0,,
2024-05-01 01:50:00+00:00,15,0.14,-52,0,0,0,0,29.6,0,0,0,0,75.5,20,0.8,107,PT5M,0.0,,
2024-05-01 01:55:00+00:00,15,0.14,-53,0,0,0,0,31.5,0,0,0,0,75.7,20,0.8,106,PT5M,0.0,,
2024-05-01 02:00:00+00:00,15,0.14,-54,0,0,0,0,32.4,0,0,0,0,75.8,20,0.8,105,PT5M,0.0,0.0,
2024-05-01 02:05:00+00:00,15,0.14,-55,0,0,0,0,32.4,0,0,0,0,76.0,21,0.9,104,PT5M,0.0,,
2024-05-01 02:10:00+00:00,15,0.14,-56,0,0,0,0,33.4,0,0,0,0,76.1,23,0.9,104,PT5M,0.0,,
2024-05-01 02:15:00+00:00,15,0.14,-57,0,0,0,0,33.4,0,0,0,0,76.3,25,0.9,103,PT5M,0.0,,
2024-05-01 02:20:00+00:00,15,0.14,-58,0,0,0,0,32.4,0,0,0,0,76.4,27,0.9,102,PT5M,0.0,,
2024-05-01 02:25:00+00:00,15,0.14,-59,0,0,0,0,32.4,0,0,0,0,76.5,28,0.9,101,PT5M,0.0,,
2024-05-01 02:30:00+00:00,15,0.14,-60,0,0,0,0,29.6,0,0,0,0,76.6,30,0.9,100,PT5M,0.0,,
2024-05-01 02:35:00+00:00,15,0.14,-61,0,0,0,0,28.7,0,0,0,0,76.7,32,0.9,100,PT5M,0.0,,
2024-05-01 02:40:00+00:00,15,0.14,-62,0,0,0,0,27.8,0,0,0,0,76.9,33,0.9,99,PT5M,0.0,,
2024-05-01 02:45:00+00:00,15,0.14,-62,0,0,0,0,26.9,0,0,0,0,77.0,35,0.9,98,PT5M,0.0,,
2024-05-01 02:50:00+00:00,15,0.14,-63,0,0,0,0,24.1,0,0,0,0,77.1,37,0.9,97,PT5M,0.0,,
2024-05-01 02:55:00+00:00,15,0.14,-64,0,0,0,0,23.2,0,0,0,0,77.2,38,0.9,96,PT5M,0.0,,
2024-05-01 03:00:00+00:00,15,0.14,-65,0,0,0,0,15.7,0,0,0,0,77.4,40,0.9,95,PT5M,0.0,4.176776106661047,
2024-05-01 03:05:00+00:00,15,0.14,-66,0,0,0,0,11.1,0,0,0,0,77.6,41,0.9,94,PT5M,0.0,,
2024-05-01 03:10:00+00:00,14,0.14,-67,0,0,0,0,12.0,0,0,0,0,77.8,41,0.9,94,PT5M,0.0,,
2024-05-01 03:15:00+00:00,14,0.14,-68,0,0,0,0,11.1,0,0,0,0,78.1,41,0.9,93,PT5M,0.0,,
2024-05-01 03:20:00+00:00,14,0.14,-68,0,0,0,0,8.3,0,0,0,0,78.3,42,0.9,92,PT5M,0.0,,
2024-05-01 03:25:00+00:00,14,0.14,-69,0,0,0,0,12.0,0,0,0,0,78.6,42,0.9,91,PT5M,0.0,,
2024-05-01 03:30:00+00:00,14,0.14,-70,0,0,0,0,12.9,0,0,0,0,78.8,43,0.9,90,PT5M,0.0,,
2024-05-01 03:35:00+00:00,14,0.14,-71,4,1,4,4,14.8,4,0,4,3,79.1,43,0.9,89,PT5M,2.4802754705366534,,
2024-05-01 03:40:00+00:00,14,0.14,-72,10,6,11,10,15.7,9,0,9,9,79.4,43,0.9,88,PT5M,5.577266038207427,,
2024-05-01 03:45:00+00:00,14,0.14,-72,16,23,18,15,14.8,16,0,16,15,79.6,44,0.9,87,PT5M,9.90679246134643,,
2024-05-01 03:50:00+00:00,14,0.14,-73,22,52,27,20,14.8,23,0,23,22,79.9,44,0.9,87,PT5M,14.229015117618678,,
2024-05-01 03:55:00+00:00,14,0.14,-74,28,96,36,25,19.4,29,0,29,28,80.1,44,0.9,86,PT5M,17.92796419222338,,
2024-05-01 04:00:00+00:00,14,0.14,-75,33,145,46,29,21.3,37,0,37,35,80.4,45,0.9,85,PT5M,22.851549129562894,56.56574200009654,
2024-05-01 04:05:00+00:00,14,0.14,-76,38,180,58,33,24.1,44,0,44,42,80.4,45,0.8,84,PT5M,27.151080227711972,,
2024-05-01 04:10:00+00:00,14,0.14,-76,43,215,70,42,23.2,54,0,54,52,80.0,45,0.8,83,PT5M,33.28131739965097,,
2024-05-01 04:15:00+00:00,14,0.14,-77,48,249,83,52,26.9,60,0,60,58,79.7,45,0.8,82,PT5M,36.95226630195861,,
2024-05-01 04:20:00+00:00,14,0.14,-78,52,281,96,63,26.9,70,0,70,68,79.3,45,0.7,81,PT5M,43.056538880331935,,
2024-05-01 04:25:00+00:00,14,0.14,-79,56,312,110,75,23.8,82,8,84,80,79.0,45,0.7,80,PT5M,50.82028963581422,,
2024-05-01 04:30:00+00:00,15,0.14,-80,60,341,124,88,14.7,81,131,106,89,78.6,45,0.7,79,PT5M,58.59839859117122,,
2024-05-01 04:35:00+00:00,15,0.14,-80,64,369,139,102,16.6,91,125,116,101,78.3,45,0.6,78,PT5M,65.78808026599798,,
2024-05-01 04:40:00+00:00,15,0.14,-81,68,395,154,117,9.9,87,237,139,114,78.0,45,0.6,77,PT5M,75.4693808515043,,
2024-05-01 04:45:00+00:00,15,0.14,-82,71,420,170,132,11.8,96,227,150,127,77.6,45,0.5,76,PT5M,82.77101386791246,,
2024-05-01 04:50:00+00:00,15,0.14,-83,74,443,186,148,16.7,112,171,155,137,77.3,45,0.5,75,PT5M,88.53328606682172,,
2024-05-01 04:55:00+00:00,15,0.14,-84,77,465,201,165,20.5,126,129,160,146,77.0,45,0.5,74,PT5M,93.51570278272025,,
2024-05-01 05:00:00+00:00,15,0.14,-84,80,486,218,182,24.4,140,85,164,154,76.7,45,0.4,74,PT5M,97.15216550945775,134.19732023738229,
2024-05-01 05:05:00+00:00,15,0.14,-85,83,506,234,200,28.4,155,42,167,160,76.4,47,0.4,73,PT5M,100.44335317149864,,
