Date,Energy_kWh
2024-08-11,55.4
2024-08-12,56.7
2024-08-13,53.6
2024-08-14,58.9
2024-08-15,57.7
2024-08-16,56.1
2024-08-17,55.6
2024-08-18,55.1
2024-08-19,54.1
2024-08-20,52.9
2024-08-21,55.6
2024-08-22,54.9
2024-08-23,53.9
2024-08-24,56.7
2024-08-25,55.5
2024-08-26,45.6
2024-08-27,55.8
2024-08-28,60.6
2024-08-29,58.4
2024-08-30,40.0
2024-08-31,52.9
2024-09-01,57.2
2024-09-02,55.9
2024-09-03,56.9
2024-09-04,55.4
2024-09-05,60.0
2024-09-06,58.4
2024-09-07,58.6
2024-09-08,58.0
2024-09-09,40.9
2024-09-10,24.4
2024-09-11,31.7
2024-09-12,52.0
2024-09-13,52.4
2024-09-14,52.5
2024-09-15,48.5
2024-09-16,12.0
2024-09-17,36.0
2024-09-18,38.7
2024-09-19,59.1
2024-09-20,22.5
2024-09-21,6.7
2024-09-22,30.7
2024-09-23,29.8
2024-09-24,29.2
2024-09-25,53.6
2024-09-26,57.7
2024-09-27,57.8
2024-09-28,47.6
2024-09-29,45.9
2024-09-30,65.4
2024-10-01,67.0
2024-10-02,62.7
2024-10-03,60.9
2024-10-04,63.9
2024-10-05,62.8
2024-10-06,58.3
2024-10-07,51.1
2024-10-08,46.2
2024-10-09,56.1
2024-10-10,51.4
2024-10-11,52.5
2024-10-12,59.2
2024-10-13,57.8
2024-10-14,57.9
2024-10-15,48.7
2024-10-16,25.0
2024-10-17,61.1
2024-10-18,57.2
2024-10-19,66.3
2024-10-20,43.0
2024-10-21,27.3
2024-10-22,33.9
2024-10-23,37.2
2024-10-24,49.9
2024-10-25,58.5
2024-10-26,54.1
2024-10-27,53.0
2024-10-28,47.9
2024-10-29,65.4
2024-10-30,63.8
2024-10-31,57.4
2024-11-01,61.2
2024-11-02,58.5
2024-11-03,58.7
2024-11-04,63.1
